OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_74999k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,Median_household_inc,Average_Per_capita_Inc,Aggregate_HH_Income,Average_Household_Income,GlobalID,last_edited_date
838,023310,13089023310,233.10,ARC 10,3777,1991,52.7,1211,32.1,558,14.8,17,0.5,33170,17479,152235200,40306,{723523BD-737D-4807-8182-78B1A20F0F6E},
839,020801,13089020801,208.01,ARC 10,1085,213,19.6,310,28.6,489,45.1,73,6.7,75956,38327,97284096,89663,{9EA2B143-E90C-4D1C-989C-C05D6F03298A},
840,021812,13089021812,218.12,ARC 10,855,233,27.3,268,31.3,320,37.4,34,4,63977,30368,65398200,76489,{5069F2A8-B01F-499F-93A3-B63106D9E1AE},
841,021214,13089021214,212.14,ARC 10,2068,254,12.3,303,14.7,1098,53.1,413,20,106843,46689,290416800,140434,{7C57F6AB-0F96-4651-9CFB-658D9392752D},
842,021810,13089021810,218.10,ARC 10,2417,440,18.2,787,32.6,1046,43.3,144,6,72217,46366,230169408,95229,{51546470-3D2D-46E4-8CEC-410EC500E440},
843,021809,13089021809,218.09,ARC 10,2492,488,19.6,506,20.3,1163,46.7,335,13.4,92734,40728,263089504,105574,{DC1DDE15-5F22-41C0-85A8-15CD77CDDF5B},
844,021808,13089021808,218.08,ARC 10,1803,464,25.7,551,30.6,677,37.5,111,6.2,62560,30521,148024800,82099,{82D408C6-882A-4691-B621-81BFD41F53B1},
845,021806,13089021806,218.06,ARC 10,2396,1135,47.4,737,30.8,466,19.4,58,2.4,38269,22135,121690496,50789,{3C428B2E-717D-444B-9F54-B5ED99871050},
846,021805,13089021805,218.05,ARC 10,2327,736,31.6,854,36.7,689,29.6,48,2.1,50964,24122,146425904,62925,{7F8AF895-44D5-4345-B72F-99DA4DB5B888},
847,021704,13089021704,217.04,ARC 10,2166,474,21.9,556,25.7,871,40.2,265,12.2,81698,46153,254207008,117362,{AE56B401-C36F-43D3-A0B5-5E0CDA00447C},
848,021703,13089021703,217.03,ARC 10,1796,255,14.2,262,14.6,855,47.6,424,23.6,129783,60947,286288192,159403,{88CE349B-1F56-4F1C-9115-30720BCB220B},
849,021705,13089021705,217.05,ARC 10,2257,1084,48,683,30.3,459,20.3,31,1.4,36660,25450,114903400,50910,{29D30373-0267-40DB-8CFC-0A252C9F2DB2},
850,021908,13089021908,219.08,ARC 10,1991,1037,52.1,668,33.6,232,11.7,54,2.7,32839,14718,84518896,42450,{66C8CC53-F51C-4220-B7D8-44955F9B29ED},
851,023309,13089023309,233.09,ARC 10,3462,1036,29.9,1738,50.2,688,19.9,0,0,47026,20787,184617104,53327,{FF24653D-3F8A-4677-B5C8-52067E2820A2},
852,023211,13089023211,232.11,ARC 10,1134,406,35.8,390,34.4,316,27.9,22,1.9,50667,25489,71814896,63329,{ACABB25E-EDEA-4496-A193-D9E03C82905F},
853,023212,13089023212,232.12,ARC 10,1247,469,37.6,320,25.7,447,35.8,11,0.9,58891,23690,80927000,64897,{52C05294-034B-41F2-8BC1-92917C838D7C},
854,023306,13089023306,233.06,ARC 10,2312,475,20.5,1054,45.6,740,32,43,1.9,55950,24497,162145408,70132,{8AFAEBE5-74BE-4629-9FCC-503CB89CBAEF},
855,023303,13089023303,233.03,ARC 10,2281,976,42.8,760,33.3,545,23.9,0,0,40982,17497,112730400,49421,{725C679D-E942-45A1-99FC-E3597B050E3F},
856,021706,13089021706,217.06,ARC 10,2694,670,24.9,816,30.3,947,35.2,261,9.7,68316,46370,257126400,95444,{F0BE3380-5837-4673-852A-81896F830C9A},
857,021211,13089021211,212.11,ARC 10,1884,264,14,428,22.7,810,43,382,20.3,102923,53323,247961296,131614,{B8ADB3F1-2630-4F75-BF12-226A8AEBD1E2},
858,021210,13089021210,212.10,ARC 10,1980,222,11.2,392,19.8,842,42.5,524,26.5,124265,55082,300423616,151729,{9AD3E2C0-40E3-4E69-ABD9-A1DE18072885},
859,021213,13089021213,212.13,ARC 10,1139,143,12.6,183,16.1,411,36.1,402,35.3,132986,60446,206812496,181574,{A7F9D7A0-A9A5-4881-BE02-B5925EE84FAE},
860,021303,13089021303,213.03,ARC 10,1770,870,49.2,627,35.4,249,14.1,24,1.4,35417,14913,85224496,48149,{66303169-C5EA-468F-83B1-853C3F9D7DEC},
861,021301,13089021301,213.01,ARC 10,1540,557,36.2,594,38.6,359,23.3,30,1.9,45000,23775,86179696,55961,{5069D0D2-E323-4051-B166-B4A25BC096B4},
862,021209,13089021209,212.09,ARC 10,2959,899,30.4,702,23.7,1070,36.2,288,9.7,65169,49375,277423712,93756,{03CDD1BC-51F2-413D-BE66-F4451726C3DA},
863,021405,13089021405,214.05,ARC 10,1835,306,16.7,329,17.9,687,37.4,513,28,110052,67108,275176704,149960,{F9FA37D6-EE18-4FC7-9BED-0800FDB8F4A2},
864,021208,13089021208,212.08,ARC 10,1710,455,26.6,561,32.8,604,35.3,90,5.3,57976,34372,134165600,78459,{3D13642D-1831-41AC-83A2-1B78190F12EB},
865,021204,13089021204,212.04,ARC 10,1026,663,64.6,310,30.2,34,3.3,19,1.9,25034,10017,35244100,34351,{73DE9425-45C9-4CDA-AEF1-F576B2DCCBC4},
866,021202,13089021202,212.02,ARC 10,3133,540,17.2,832,26.6,1096,35,665,21.2,95313,53416,386352512,123317,{74F13A1B-57C3-4E1A-9384-41467F91160D},
867,023210,13089023210,232.10,ARC 10,2338,954,40.8,891,38.1,493,21.1,0,0,40217,18477,110261696,47161,{7961711A-A4A5-4686-8A09-C143865492BA},
868,023209,13089023209,232.09,ARC 10,1690,408,24.1,691,40.9,565,33.4,26,1.5,59167,20598,108124600,63979,{AF63DDEC-693C-4013-AB39-12BECBF9CC93},
869,023603,13089023603,236.03,ARC 10,1317,716,54.4,462,35.1,133,10.1,6,0.5,32522,17497,53752000,40814,{1F668C8F-DE53-4A49-A2AB-FF7A6738B2A2},
870,021603,13089021603,216.03,ARC 10,2635,741,28.1,948,36,737,28,209,7.9,53658,49364,218059504,82755,{914C57B1-7DF2-4FEB-AC55-EFFE6D0F9DA3},
871,090905,13057090905,909.05,ARC 10,1704,552,32.4,517,30.3,573,33.6,62,3.6,57100,32684,115946896,68044,{EEB000FD-D422-4A6C-8584-22E444814828},
872,090904,13057090904,909.04,ARC 10,2876,767,26.7,958,33.3,1057,36.8,94,3.3,61183,27549,224831696,78175,{411C204A-579D-4235-AB93-5A2F989EF86A},
873,091007,13057091007,910.07,ARC 10,2281,261,11.4,506,22.2,1264,55.4,250,11,107681,44117,283690400,124371,{F7D40294-4CDC-449D-8CD1-E5555970F320},
874,090803,13057090803,908.03,ARC 10,3513,541,15.4,858,24.4,1995,56.8,119,3.4,87354,33540,340000000,96783,{1D5FC832-90DD-458B-81F1-64A924D0ACAB},
875,090804,13057090804,908.04,ARC 10,3234,387,12,1114,34.4,1475,45.6,258,8,82500,34153,316113216,97747,{2AD53120-9675-451B-A766-9E301C75DCD4},
876,091008,13057091008,910.08,ARC 10,2923,319,10.9,621,21.2,1612,55.1,371,12.7,101766,39358,320542688,109662,{C19736E5-A73E-4287-81EF-D79230C6A631},
877,090802,13057090802,908.02,ARC 10,2433,430,17.7,532,21.9,1241,51,230,9.5,89191,36077,245739808,101003,{A0C039CD-50A4-4CD0-8415-BF80DE6DB42F},
878,090501,13057090501,905.01,ARC 10,2215,486,21.9,708,32,881,39.8,140,6.3,65144,30450,185601696,83793,{02BA751D-055F-41DF-9EEC-ADE75C27050B},
879,090902,13057090902,909.02,ARC 10,5507,910,16.5,1684,30.6,2582,46.9,331,6,81094,35957,517497984,93971,{4E941C65-E054-4DA0-AD79-9F1337883F74},
880,091001,13057091001,910.01,ARC 10,1583,555,35.1,546,34.5,474,29.9,8,0.5,51493,23589,96230000,60790,{1105B1FD-4302-46B6-937C-93746635943A},
881,091003,13057091003,910.03,ARC 10,2815,1127,40,898,31.9,790,28.1,0,0,44156,23312,161762000,57464,{1F4B5B5B-311D-4878-B134-1FD93A677A21},
882,091102,13057091102,911.02,ARC 10,2969,813,27.4,788,26.5,1287,43.3,81,2.7,65573,24674,215983904,72746,{9B973CA6-C24D-4DD1-B9EC-E2BA5C2DE987},
883,091101,13057091101,911.01,ARC 10,2061,475,23,692,33.6,742,36,152,7.4,65949,31387,183425200,88998,{56682360-389F-42E3-9BB2-4E1A4F038E5B},
884,091103,13057091103,911.03,ARC 10,2951,582,19.7,1040,35.2,1319,44.7,10,0.3,67832,25896,214800000,72789,{31E2B250-408E-4ED1-926D-326A33AAC5A6},
885,090701,13057090701,907.01,ARC 10,6974,1570,22.5,2302,33,2690,38.6,412,5.9,64297,33692,622728704,89293,{9E47CEAD-5865-4132-982C-1658C4EDD7BC},
886,110601,13297110601,1106.01,ARC 20,1611,343,21.3,589,36.6,656,40.7,23,1.4,68432,25883,117575600,72983,{32CBEB74-16A5-4320-9D0C-9CC1C0A1D150},
887,110507,13297110507,1105.07,ARC 20,2527,508,20.1,1065,42.1,907,35.9,47,1.9,66036,24398,181870896,71971,{BF79C028-83F1-45A0-8B8B-E20AC0D284EC},
888,110506,13297110506,1105.06,ARC 20,1881,446,23.7,632,33.6,627,33.3,176,9.4,68614,30867,156255008,83070,{D5C6F9EB-6138-47FD-A4BC-DD0A79BAB04C},
