OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_74999k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,Median_household_inc,Average_Per_capita_Inc,Aggregate_HH_Income,Average_Household_Income,GlobalID,last_edited_date
925,180302,13013180302,1803.02,ARC 20,2106,458,21.7,1064,50.5,538,25.5,46,2.2,54966,24588,135691904,64431,{ADB9D294-2603-4663-B923-BC9D198F4D1E},
926,180105,13013180105,1801.05,ARC 20,833,272,32.7,263,31.6,283,34,15,1.8,50341,19874,55199100,66265,{9B1DBDAC-F109-4C6E-822C-7F9DFC9D414D},
927,180104,13013180104,1801.04,ARC 20,716,275,38.4,247,34.5,183,25.6,11,1.5,44271,19810,38327200,53530,{254435D5-85D1-47FF-ADCA-C047C25E4851},
928,180107,13013180107,1801.07,ARC 20,1351,509,37.7,624,46.2,210,15.5,8,0.6,41365,18785,68154600,50448,{4BBC70D2-F2EF-4FFE-BA15-58A1FD3D12D5},
929,180108,13013180108,1801.08,ARC 20,992,229,23.1,492,49.6,260,26.2,11,1.1,52926,20047,59873700,60357,{53F42766-4C97-4AEB-851B-E76A9A581A3A},
930,120104,13223120104,1201.04,ARC 20,868,158,18.2,398,45.9,288,33.2,24,2.8,67000,31086,71514896,82390,{54B501B1-C081-4C5D-A0E2-8E2569D041B0},
931,120604,13223120604,1206.04,ARC 20,1747,424,24.3,709,40.6,609,34.9,5,0.3,58914,21625,119948304,68660,{23FA2FC8-8006-4B80-8310-FD9937154C38},
932,120601,13223120601,1206.01,ARC 20,1477,350,23.7,641,43.4,446,30.2,40,2.7,61943,23728,101704200,68859,{2F06D440-AEE6-4809-8984-38992E540029},
933,120603,13223120603,1206.03,ARC 20,2408,835,34.7,825,34.3,619,25.7,129,5.4,52289,26417,164232000,68203,{592F5B06-49A6-42FF-94CA-8AB777308A7D},
934,120501,13223120501,1205.01,ARC 20,2261,540,23.9,1169,51.7,525,23.2,27,1.2,51012,21643,131517696,58168,{6FC1B402-9C8A-4DB8-B941-F303B500C0D0},
935,120203,13223120203,1202.03,ARC 20,1899,476,25.1,805,42.4,582,30.6,36,1.9,61875,27620,131323800,69154,{559422C8-4C02-4779-A639-64A5463ABF4C},
936,120101,13223120101,1201.01,ARC 20,4006,662,16.5,910,22.7,2163,54,271,6.8,90547,33484,394771488,98545,{8EBEF279-E569-4DD4-8FE1-667D7FF5575B},
937,120502,13223120502,1205.02,ARC 20,3019,491,16.3,1376,45.6,1124,37.2,28,0.9,59659,24628,212517408,70393,{6A7090CA-6923-4071-A4D0-C76B16756CF5},
938,120503,13223120503,1205.03,ARC 20,1732,450,26,668,38.6,566,32.7,48,2.8,58320,24528,124809400,72061,{D3458230-CB03-4A29-9569-DAF6A03A4596},
939,120605,13223120605,1206.05,ARC 20,1910,546,28.6,627,32.8,724,37.9,13,0.7,57667,31707,178666400,93543,{3B009BC6-D673-4C25-BEB7-9073C18B2395},
940,120602,13223120602,1206.02,ARC 20,3031,833,27.5,1052,34.7,1122,37,24,0.8,57441,22114,206462304,68117,{50CAE5FF-B2F8-4063-9F49-35165C4A4A0D},
941,120204,13223120204,1202.04,ARC 20,2422,843,34.8,835,34.5,733,30.3,11,0.5,49469,22705,144834896,59800,{95FF6082-2019-4D5C-8EE7-3AFC179CA66B},
942,120301,13223120301,1203.01,ARC 20,2207,769,34.8,705,31.9,714,32.4,19,0.9,48614,25851,134730000,61047,{FBEBBCAE-F526-4287-97CD-0495E443C4FB},
943,120303,13223120303,1203.03,ARC 20,641,219,34.2,240,37.4,163,25.4,19,3,48953,22826,40787300,63631,{5F62A510-7588-4562-94C3-2AD75B47F3A6},
944,120102,13223120102,1201.02,ARC 20,3459,566,16.4,935,27,1851,53.5,107,3.1,80352,25925,293147808,84749,{F4827001-A1E5-4045-B184-B3916730E5F6},
945,120103,13223120103,1201.03,ARC 20,2848,271,9.5,1175,41.3,1254,44,148,5.2,74743,27992,263360800,92472,{421DCEE6-5BDB-4CCD-8A14-B069ED05920D},
946,120302,13223120302,1203.02,ARC 20,4343,1520,35,1472,33.9,1331,30.6,20,0.5,57185,19946,263598000,60695,{FA752340-0726-42D9-A735-5B581AB9EEA9},
947,120202,13223120202,1202.02,ARC 20,2709,641,23.7,1044,38.5,1006,37.1,18,0.7,60433,26449,196586704,72568,{91645667-3417-4FE1-83C1-516BDAF1B328},
948,120400,13223120400,1204,ARC 20,6123,1893,30.9,2520,41.2,1648,26.9,62,1,55115,20874,369660288,60372,{57FB12A7-C835-449F-AE78-D06392FC8507},
