FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,TotPop_e,TotPop_m,Hisp_e,Hisp_m,pHisp_e,pHisp_m,Not_Hisp_e,Not_Hisp_m,pNot_Hisp_e,pNot_Hisp_m,NHWhite_e,NHWhite_m,pNHWhite_e,pNHWhite_m,NHBlack_e,NHBlack_m,pNHBlack_e,pNHBlack_m,NH_AmInd_e,NH_AmInd_m,pNH_AmInd_e,pNH_AmInd_m,NH_Asian_e,NH_Asian_m,pNH_Asian_e,pNH_Asian_m,NH_PacIsl_e,NH_PacIsl_m,pNH_PacIsl_e,pNH_PacIsl_m,NH_OthRace_e,NH_OthRace_m,pNH_OthRace_e,pNH_OthRace_m,NH_TwoRace_e,NH_TwoRace_m,pNH_TwoRace_e,pNH_TwoRace_m,NH_AsianPI_e,NH_AsianPI_m,pNH_AsianPI_e,pNH_AsianPI_m,NH_Other_e,NH_Other_m,pNH_Other_e,pNH_Other_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
1634,13089021604,Yes,Atlanta Regional Commission,1682,Tract,"Census Tract 216.04, DeKalb County",3101,192,84,57,2.7,1.8,3017,192,97.3,1.4,2465,230,79.5,5.5,251,149,8.1,4.8,0,13,0,0.4,284,73,9.2,2.3,0,13,0,0.4,7,12,0.2,0.4,10,15,0.3,0.5,284,74,9.2,2.3,17,23,0.5,0.7,,,,,0.0824655813003496,0.000338998773641314
1635,13089021504,Yes,Atlanta Regional Commission,1679,Tract,"Census Tract 215.04, DeKalb County",5106,410,167,77,3.3,1.5,4939,405,96.7,1.6,3615,414,70.8,5.8,500,190,9.8,3.6,0,18,0,0.4,701,247,13.7,4.7,0,18,0,0.4,0,18,0,0.4,123,91,2.4,1.8,701,248,13.7,4.7,123,94,2.4,1.8,,,,,0.108944162783487,0.00036587788059529
1636,13089021503,Yes,Atlanta Regional Commission,1678,Tract,"Census Tract 215.03, DeKalb County",3970,465,689,377,17.4,9.3,3281,462,82.6,6.5,2142,247,54,8.9,490,142,12.3,3.3,0,13,0,0.3,609,326,15.3,8,0,13,0,0.3,0,13,0,0.3,40,31,1,0.8,609,326,15.3,8,40,36,1,0.9,,,,,0.059986247047897,0.000188688347145334
1637,13089023107,Yes,Atlanta Regional Commission,1727,Tract,"Census Tract 231.07, DeKalb County",4603,493,423,270,9.2,5.8,4180,515,90.8,5.5,753,209,16.4,4.2,3052,584,66.3,10.5,14,20,0.3,0.4,32,60,0.7,1.3,0,13,0,0.3,40,52,0.9,1.1,289,261,6.3,5.6,32,61,0.7,1.3,343,267,7.5,5.7,,,,,0.098687756714836,0.000365152828661909
1638,13089023418,Yes,Atlanta Regional Commission,1759,Tract,"Census Tract 234.18, DeKalb County",18039,1259,104,28,0.6,0.1,17935,1266,99.4,1.1,1128,726,6.3,4,16655,1448,92.3,4.8,53,86,0.3,0.5,40,64,0.2,0.4,0,20,0,0.1,0,20,0,0.1,59,74,0.3,0.4,40,67,0.2,0.4,112,115,0.6,0.6,,,,,0.37419276689236,0.00498412820618365
1639,13089023101,Yes,Atlanta Regional Commission,1725,Tract,"Census Tract 231.01, DeKalb County",4718,414,197,146,4.2,3.1,4521,371,95.8,11.5,714,195,15.1,3.9,3666,399,77.7,5,0,13,0,0.3,17,19,0.4,0.4,0,13,0,0.3,13,21,0.3,0.4,111,102,2.4,2.2,17,23,0.4,0.5,124,105,2.6,2.2,,,,,0.0942473981485327,0.000345127998092655
1640,13089022401,Yes,Atlanta Regional Commission,1716,Tract,"Census Tract 224.01, DeKalb County",3708,412,68,59,1.8,1.6,3640,408,98.2,1.4,2968,390,80,5.6,328,177,8.8,4.7,6,11,0.2,0.3,197,146,5.3,3.9,0,13,0,0.4,41,56,1.1,1.5,100,153,2.7,4.1,197,147,5.3,3.9,147,163,4,4.4,,,,,0.0809008557574399,0.000261188167547585
1641,13089020900,Yes,Atlanta Regional Commission,1646,Tract,"Census Tract 209, DeKalb County",5811,603,128,92,2.2,1.6,5683,598,97.8,1.7,2708,305,46.6,2,2790,611,48,9.3,0,18,0,0.3,108,102,1.9,1.7,0,18,0,0.3,0,18,0,0.3,77,75,1.3,1.3,108,104,1.9,1.8,77,79,1.3,1.4,,,,,0.125166700500858,0.000433444569692718
1642,13089020700,Yes,Atlanta Regional Commission,1643,Tract,"Census Tract 207, DeKalb County",2231,294,55,33,2.5,1.4,2176,303,97.5,4.4,1235,154,55.4,10,813,242,36.4,9.7,0,13,0,0.6,36,29,1.6,1.3,0,13,0,0.6,25,39,1.1,1.7,67,38,3,1.7,36,32,1.6,1.4,92,56,4.1,2.4,,,,,0.052859321404909,0.000123085729750533
1643,13089020600,Yes,Atlanta Regional Commission,1642,Tract,"Census Tract 206, DeKalb County",2102,339,66,45,3.1,2.1,2036,344,96.9,4.9,766,152,36.4,4.2,1083,329,51.5,13.3,26,40,1.2,1.9,16,21,0.8,1,0,13,0,0.6,0,13,0,0.6,145,142,6.9,6.7,16,25,0.8,1.2,171,148,8.1,6.9,,,,,0.0412557795996909,0.000107752859841039
