FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,TotPop_e,TotPop_m,Hisp_e,Hisp_m,pHisp_e,pHisp_m,Not_Hisp_e,Not_Hisp_m,pNot_Hisp_e,pNot_Hisp_m,NHWhite_e,NHWhite_m,pNHWhite_e,pNHWhite_m,NHBlack_e,NHBlack_m,pNHBlack_e,pNHBlack_m,NH_AmInd_e,NH_AmInd_m,pNH_AmInd_e,pNH_AmInd_m,NH_Asian_e,NH_Asian_m,pNH_Asian_e,pNH_Asian_m,NH_PacIsl_e,NH_PacIsl_m,pNH_PacIsl_e,pNH_PacIsl_m,NH_OthRace_e,NH_OthRace_m,pNH_OthRace_e,pNH_OthRace_m,NH_TwoRace_e,NH_TwoRace_m,pNH_TwoRace_e,pNH_TwoRace_m,NH_AsianPI_e,NH_AsianPI_m,pNH_AsianPI_e,pNH_AsianPI_m,NH_Other_e,NH_Other_m,pNH_Other_e,pNH_Other_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
31,13059001800,No,Northeast Georgia,1355,Tract,"Census Tract 18, Clarke County",2401,267,54,49,2.2,2,2347,249,97.8,15,1835,334,76.4,11,374,327,15.6,13.5,0,13,0,0.5,74,71,3.1,2.9,0,13,0,0.5,32,49,1.3,2,32,31,1.3,1.3,74,72,3.1,3,64,59,2.7,2.5,,,,,0.0636525667144495,0.000203437867063892
32,13059000900,No,Northeast Georgia,1352,Tract,"Census Tract 9, Clarke County",3379,556,182,138,5.4,4,3197,551,94.6,4.9,661,357,19.6,10.1,2530,502,74.9,8.3,0,13,0,0.4,6,9,0.2,0.3,0,13,0,0.4,0,13,0,0.4,0,13,0,0.4,6,16,0.2,0.5,0,23,0,0.7,,,,,0.103373767582268,0.000242742890596013
33,13059150700,No,Northeast Georgia,1375,Tract,"Census Tract 1507, Clarke County",5779,521,233,278,4,4.8,5546,565,96,4.6,3613,408,62.5,4.3,1611,399,27.9,6.4,25,40,0.4,0.7,167,173,2.9,3,0,18,0,0.3,17,28,0.3,0.5,113,109,2,1.9,167,174,2.9,3,155,119,2.7,2.1,,,,,0.133997217613898,0.000896373094245444
34,13059130500,No,Northeast Georgia,1364,Tract,"Census Tract 1305, Clarke County",2882,349,226,196,7.8,6.7,2656,339,92.2,3.7,1765,216,61.2,1.1,752,272,26.1,8.9,0,13,0,0.5,34,44,1.2,1.5,0,13,0,0.5,0,13,0,0.5,105,100,3.6,3.4,34,46,1.2,1.6,105,102,3.6,3.5,,,,,0.291756317088188,0.00306056169137698
35,13059140600,No,Northeast Georgia,1370,Tract,"Census Tract 1406, Clarke County",4782,440,492,199,10.3,4.1,4290,387,89.7,11.6,2569,295,53.7,3.7,1477,328,30.9,6.2,0,13,0,0.3,134,125,2.8,2.6,0,13,0,0.3,0,13,0,0.3,110,77,2.3,1.6,134,126,2.8,2.6,110,79,2.3,1.6,,,,,0.319116658346795,0.00317861171841137
36,13059140500,No,Northeast Georgia,1369,Tract,"Census Tract 1405, Clarke County",1950,304,407,209,20.9,10.2,1543,342,79.1,12.5,521,172,26.7,7.8,997,320,51.1,14.3,0,13,0,0.7,0,13,0,0.7,6,9,0.3,0.5,0,13,0,0.7,19,25,1,1.3,6,16,0.3,0.8,19,31,1,1.6,,,,,0.232756558747629,0.00209068747517802
37,13059030100,No,Northeast Georgia,1360,Tract,"Census Tract 301, Clarke County",5578,706,53,55,1,1,5525,691,99,17.6,2800,664,50.2,10.1,2635,658,47.2,10.2,0,18,0,0.3,90,74,1.6,1.3,0,18,0,0.3,0,18,0,0.3,0,18,0,0.3,90,76,1.6,1.3,0,31,0,0.6,,,,,0.0905697164694987,0.000372254086619923
38,13059130300,No,Northeast Georgia,1362,Tract,"Census Tract 1303, Clarke County",5965,511,2716,571,45.5,8.7,3249,369,54.5,4.1,992,148,16.6,2,2153,353,36.1,5,0,18,0,0.3,0,18,0,0.3,0,18,0,0.3,0,18,0,0.3,104,108,1.7,1.8,0,25,0,0.4,104,111,1.7,1.9,,,,,0.232762906180724,0.00173962646156369
39,13059002100,No,Northeast Georgia,1358,Tract,"Census Tract 21, Clarke County",4294,503,97,64,2.3,1.5,4197,511,97.7,3.2,3386,378,78.9,12.8,126,58,2.9,1.3,0,13,0,0.3,631,402,14.7,9.2,0,13,0,0.3,0,13,0,0.3,54,42,1.3,1,631,402,14.7,9.2,54,46,1.3,1.1,,,,,0.0729368075943601,0.000163210236606715
40,13059130600,No,Northeast Georgia,1365,Tract,"Census Tract 1306, Clarke County",6573,782,1036,659,15.8,9.8,5537,747,84.2,5.4,3544,459,53.9,2.8,1732,593,26.4,8.5,0,18,0,0.3,214,156,3.3,2.3,0,18,0,0.3,0,18,0,0.3,47,65,0.7,1,214,157,3.3,2.4,47,70,0.7,1.1,,,,,0.165239763761919,0.000918011122150598
41,13059001200,No,Northeast Georgia,1353,Tract,"Census Tract 12, Clarke County",3145,413,157,113,5,3.5,2988,403,95,2.9,2486,290,79,13.9,410,284,13,8.9,0,13,0,0.4,57,44,1.8,1.4,0,13,0,0.4,0,13,0,0.4,35,43,1.1,1.4,57,46,1.8,1.4,35,47,1.1,1.5,,,,,0.119777966621892,0.000347870627536085
42,13059001700,No,Northeast Georgia,1354,Tract,"Census Tract 17, Clarke County",2215,182,203,176,9.2,7.9,2012,195,90.8,4.7,1375,214,62.1,8.2,552,149,24.9,6.4,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,85,65,3.8,2.9,0,18,0,0.8,85,68,3.8,3,,,,,0.0863867311343949,0.000345510665449718
43,13059150300,No,Northeast Georgia,1371,Tract,"Census Tract 1503, Clarke County",3414,299,224,162,6.6,4.7,3190,350,93.4,6.2,1828,316,53.5,8,1007,231,29.5,6.3,0,13,0,0.4,261,155,7.6,4.5,0,13,0,0.4,0,13,0,0.4,94,63,2.8,1.8,261,156,7.6,4.5,94,66,2.8,1.9,,,,,0.15185997723038,0.000639312964491081
44,13059000600,No,Northeast Georgia,1351,Tract,"Census Tract 6, Clarke County",2844,310,203,109,7.1,3.8,2641,296,92.9,2.4,1584,247,55.7,6.2,788,271,27.7,9,0,13,0,0.5,243,128,8.5,4.4,0,13,0,0.5,0,13,0,0.5,26,24,0.9,0.8,243,129,8.5,4.4,26,30,0.9,1.1,,,,,0.057669766518172,0.000131657228644072
45,13059130700,No,Northeast Georgia,1366,Tract,"Census Tract 1307, Clarke County",5959,660,665,378,11.2,6.2,5294,633,88.8,4,3869,579,64.9,6.5,1064,338,17.9,5.3,0,18,0,0.3,74,57,1.2,0.9,0,18,0,0.3,37,60,0.6,1,250,182,4.2,3,74,60,1.2,1,287,192,4.8,3.2,,,,,0.1910933475443,0.000905524702354704
46,13173950200,No,Southern Georgia,2475,Tract,"Census Tract 9502, Lanier County",8287,271,472,113,5.7,1.4,7815,256,94.3,0.2,5324,244,64.2,2.1,2355,181,28.4,2,0,18,0,0.2,23,37,0.3,0.4,0,18,0,0.2,32,48,0.4,0.6,81,79,1,1,23,41,0.3,0.5,113,94,1.4,1.1,,,,,0.979270685607687,0.0265796586331705
47,13173950100,No,Southern Georgia,2474,Tract,"Census Tract 9501, Lanier County",2101,271,95,113,4.5,5.3,2006,256,95.5,17.3,1813,244,86.3,3.3,144,114,6.9,5.4,0,13,0,0.6,6,13,0.3,0.6,0,13,0,0.6,0,13,0,0.6,43,64,2,3,6,18,0.3,0.9,43,67,2,3.2,,,,,1.15525459422859,0.0223084606896843
48,13059000100,No,Northeast Georgia,1348,Tract,"Census Tract 1, Clarke County",1795,316,61,34,3.4,1.8,1734,309,96.6,2.7,1470,288,81.9,7,171,101,9.5,5.4,0,13,0,0.7,54,49,3,2.7,0,13,0,0.7,0,13,0,0.7,39,26,2.2,1.4,54,51,3,2.8,39,32,2.2,1.7,,,,,0.0530437830363128,8.47168798395756e-05
49,13059150900,No,Northeast Georgia,1377,Tract,"Census Tract 1509, Clarke County",4272,436,324,369,7.6,8.6,3948,380,92.4,13,2742,328,64.2,4,865,318,20.2,7.2,36,52,0.8,1.2,210,138,4.9,3.2,0,13,0,0.3,9,14,0.2,0.3,86,81,2,1.9,210,139,4.9,3.2,131,97,3.1,2.3,,,,,0.445639785184745,0.00477863213199541
50,13059150800,No,Northeast Georgia,1376,Tract,"Census Tract 1508, Clarke County",6292,452,336,192,5.3,3,5956,500,94.7,4.1,3934,391,62.5,4.3,1786,379,28.4,5.7,0,18,0,0.3,159,180,2.5,2.9,0,18,0,0.3,26,39,0.4,0.6,51,62,0.8,1,159,181,2.5,2.9,77,75,1.2,1.2,,,,,0.182160048229327,0.0011826921267157
51,13059150600,No,Northeast Georgia,1374,Tract,"Census Tract 1506, Clarke County",3274,261,231,203,7.1,6.2,3043,306,92.9,5.7,2002,244,61.1,5.6,857,223,26.2,6.5,0,13,0,0.4,88,102,2.7,3.1,0,13,0,0.4,0,13,0,0.4,96,76,2.9,2.3,88,103,2.7,3.1,96,78,2.9,2.4,,,,,0.0819664911227144,0.00034939722036886
52,13059030200,No,Northeast Georgia,1361,Tract,"Census Tract 302, Clarke County",4677,555,250,232,5.3,4.9,4427,559,94.7,4.1,1022,263,21.9,5,3203,532,68.5,8,0,13,0,0.3,70,95,1.5,2,0,13,0,0.3,8,12,0.2,0.3,124,86,2.7,1.8,70,96,1.5,2,132,88,2.8,1.8,,,,,0.0953124352134656,0.000439115532948176
53,13029920303,No,Coastal Regional Commission,1168,Tract,"Census Tract 9203.03, Bryan County",6433,373,841,286,13.1,4.4,5592,403,86.9,3.7,3894,389,60.5,4.9,1375,283,21.4,4.2,66,48,1,0.7,144,90,2.2,1.4,0,18,0,0.3,0,18,0,0.3,113,84,1.8,1.3,144,92,2.2,1.4,179,98,2.8,1.5,,,,,0.126869405716199,0.000884028991106171
54,13029920101,No,Coastal Regional Commission,1165,Tract,"Census Tract 9201.01, Bryan County",5409,455,116,67,2.1,1.2,5293,456,97.9,1.8,4348,419,80.4,3.8,719,307,13.3,5.6,17,25,0.3,0.5,9,14,0.2,0.3,0,18,0,0.3,20,33,0.4,0.6,180,112,3.3,2.1,9,23,0.2,0.4,217,119,4,2.2,,,,,0.549428339546212,0.012438558275067
55,13029920305,No,Coastal Regional Commission,1169,Tract,"Census Tract 9203.05, Bryan County",4540,297,316,217,7,4.8,4224,328,93,3.9,3472,329,76.5,5.2,534,119,11.8,2.5,0,13,0,0.3,157,101,3.5,2.2,0,13,0,0.3,0,13,0,0.3,61,61,1.3,1.3,157,102,3.5,2.2,61,64,1.3,1.4,,,,,0.351321891530893,0.00251596280340471
56,13029920301,No,Coastal Regional Commission,1167,Tract,"Census Tract 9203.01, Bryan County",1741,200,117,73,6.7,4.1,1624,198,93.3,3.8,1310,191,75.2,6.8,276,119,15.9,6.6,8,16,0.5,0.9,13,24,0.7,1.4,0,13,0,0.7,0,13,0,0.7,17,21,1,1.2,13,27,0.7,1.6,25,29,1.4,1.7,,,,,0.40752435504673,0.00645826935902836
57,13029920306,No,Coastal Regional Commission,1170,Tract,"Census Tract 9203.06, Bryan County",11929,605,885,311,7.4,2.6,11044,642,92.6,2.6,9307,594,78,3,1190,418,10,3.5,50,36,0.4,0.3,152,107,1.3,0.9,0,20,0,0.2,0,20,0,0.2,345,181,2.9,1.5,152,109,1.3,0.9,395,186,3.3,1.5,,,,,1.01573363160399,0.0253154810047115
58,13029920102,No,Coastal Regional Commission,1166,Tract,"Census Tract 9201.02, Bryan County",4831,449,41,54,0.8,1.1,4790,429,99.2,12.8,3577,396,74,4.5,1003,233,20.8,4.4,21,22,0.4,0.5,65,77,1.3,1.6,0,13,0,0.3,0,13,0,0.3,124,76,2.6,1.6,65,78,1.3,1.6,145,80,3,1.6,,,,,1.02388921863672,0.0224580294696237
59,13029980000,No,Coastal Regional Commission,1171,Tract,"Census Tract 9800, Bryan County",0,13,0,13,,,0,13,,,0,13,,,0,13,,,0,13,,,0,13,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,,,,,1.36764696367441,0.0422793904780308
60,13023790100,No,Heart of Georgia Altamaha,1154,Tract,"Census Tract 7901, Bleckley County",4607,390,20,29,0.4,0.6,4587,390,99.6,0.8,3945,346,85.6,2,642,218,13.9,4.6,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,0,18,0,0.4,0,23,0,0.5,,,,,0.807232679587888,0.0314363421497717
61,13023790300,No,Heart of Georgia Altamaha,1156,Tract,"Census Tract 7903, Bleckley County",5575,342,133,88,2.4,1.6,5442,327,97.6,8.4,3698,317,66.3,4,1656,212,29.7,3.3,10,15,0.2,0.3,22,25,0.4,0.4,0,18,0,0.3,0,18,0,0.3,56,71,1,1.3,22,31,0.4,0.6,66,75,1.2,1.3,,,,,0.402750154174915,0.00816400712497518
62,13023790200,No,Heart of Georgia Altamaha,1155,Tract,"Census Tract 7902, Bleckley County",2597,353,192,95,7.4,3.5,2405,346,92.6,4.4,1155,259,44.5,7.9,1247,256,48,7.4,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,3,8,0.1,0.3,0,18,0,0.7,3,20,0.1,0.8,,,,,0.539864182537078,0.0148195670075147
63,13001950400,No,Heart of Georgia Altamaha,1043,Tract,"Census Tract 9504, Appling County",1577,226,99,81,6.3,5.1,1478,214,93.7,1.9,1081,173,68.5,4.9,395,182,25,11,0,13,0,0.8,0,13,0,0.8,0,13,0,0.8,0,13,0,0.8,2,3,0.1,0.2,0,18,0,1.2,2,19,0.1,1.2,,,,,1.17979441948483,0.0370246904891621
64,13001950500,No,Heart of Georgia Altamaha,1044,Tract,"Census Tract 9505, Appling County",3722,463,437,337,11.7,8.9,3285,342,88.3,14.3,3061,309,82.2,13.2,181,131,4.9,3.5,14,23,0.4,0.6,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,29,26,0.8,0.7,0,18,0,0.5,43,37,1.2,1,,,,,1.19679652839274,0.0356994506507882
65,13001950300,No,Heart of Georgia Altamaha,1042,Tract,"Census Tract 9503, Appling County",5797,502,786,357,13.6,6,5011,586,86.4,6.8,3707,430,63.9,4.9,934,382,16.1,6.4,0,18,0,0.3,156,207,2.7,3.6,0,18,0,0.3,0,18,0,0.3,214,174,3.7,3,156,208,2.7,3.6,214,176,3.7,3,,,,,0.455123221444107,0.00685100055953941
66,13001950200,No,Heart of Georgia Altamaha,1041,Tract,"Census Tract 9502, Appling County",4545,531,456,399,10,8.7,4089,472,90,14.8,2297,299,50.5,2.9,1698,385,37.4,7.3,89,139,2,3,0,13,0,0.3,0,13,0,0.3,0,13,0,0.3,5,9,0.1,0.2,0,18,0,0.4,94,140,2.1,3.1,,,,,0.710993054796136,0.0150325212319689
67,13001950100,No,Heart of Georgia Altamaha,1040,Tract,"Census Tract 9501, Appling County",2830,357,20,35,0.7,1.2,2810,356,99.3,1.2,2719,362,96.1,4.1,91,65,3.2,2.3,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,18,0,0.6,0,23,0,0.8,,,,,1.26779132429681,0.0316772240570342
68,13113140207,Yes,Atlanta Regional Commission,1879,Tract,"Census Tract 1402.07, Fayette County",5493,386,91,68,1.7,1.2,5402,395,98.3,2,4269,505,77.7,7.4,346,198,6.3,3.6,0,18,0,0.3,488,197,8.9,3.5,0,18,0,0.3,45,58,0.8,1.1,254,220,4.6,4,488,198,8.9,3.5,299,228,5.4,4.1,,,,,0.123965622248926,0.000790487297879496
69,13113140208,Yes,Atlanta Regional Commission,1880,Tract,"Census Tract 1402.08, Fayette County",7583,558,965,449,12.7,5.8,6618,481,87.3,9,4934,554,65.1,5.5,1009,436,13.3,5.7,88,118,1.2,1.6,370,280,4.9,3.7,25,40,0.3,0.5,0,18,0,0.2,192,124,2.5,1.6,395,283,5.2,3.7,280,172,3.7,2.3,,,,,0.230328763943646,0.00168638871584448
70,13113140303,Yes,Atlanta Regional Commission,1881,Tract,"Census Tract 1403.03, Fayette County",4859,324,160,93,3.3,1.9,4699,344,96.7,2.9,4248,331,87.4,3.5,142,102,2.9,2.1,0,13,0,0.3,150,98,3.1,2,0,13,0,0.3,0,13,0,0.3,159,153,3.3,3.1,150,99,3.1,2,159,154,3.3,3.2,,,,,0.220680576602036,0.00142397246500844
71,13113140304,Yes,Atlanta Regional Commission,1882,Tract,"Census Tract 1403.04, Fayette County",5928,405,566,264,9.5,4.4,5362,410,90.5,3.1,4609,438,77.7,5.1,413,144,7,2.4,0,18,0,0.3,213,196,3.6,3.3,0,18,0,0.3,0,18,0,0.3,127,102,2.1,1.7,213,197,3.6,3.3,127,105,2.1,1.8,,,,,0.156796231209328,0.00135134021422114
72,13113140307,Yes,Atlanta Regional Commission,1885,Tract,"Census Tract 1403.07, Fayette County",5215,290,242,133,4.6,2.5,4973,304,95.4,2.4,4468,297,85.7,3.1,283,152,5.4,2.9,0,18,0,0.3,59,54,1.1,1,0,18,0,0.3,20,21,0.4,0.4,143,106,2.7,2,59,57,1.1,1.1,163,110,3.1,2.1,,,,,0.242802606897491,0.00168327635284577
73,13113140408,Yes,Atlanta Regional Commission,1891,Tract,"Census Tract 1404.08, Fayette County",2988,271,149,119,5,4,2839,279,95,3.6,2347,268,78.5,5.4,233,97,7.8,3.2,0,13,0,0.4,67,74,2.2,2.5,0,13,0,0.4,37,43,1.2,1.4,155,168,5.2,5.6,67,75,2.2,2.5,192,174,6.4,5.8,,,,,0.20826806083413,0.00153917549345695
74,13113140407,Yes,Atlanta Regional Commission,1890,Tract,"Census Tract 1404.07, Fayette County",8191,625,326,108,4,1.3,7865,609,96,1.3,4254,494,51.9,4.5,2768,433,33.8,4.6,0,18,0,0.2,365,235,4.5,2.8,0,18,0,0.2,11,20,0.1,0.2,467,277,5.7,3.4,365,236,4.5,2.9,478,278,5.8,3.4,,,,,0.224912047192129,0.00216595904895153
75,13113140405,Yes,Atlanta Regional Commission,1888,Tract,"Census Tract 1404.05, Fayette County",3859,322,97,88,2.5,2.3,3762,317,97.5,1.1,2724,276,70.6,4.1,851,161,22.1,3.7,0,13,0,0.3,80,67,2.1,1.7,0,13,0,0.3,0,13,0,0.3,107,99,2.8,2.6,80,68,2.1,1.8,107,101,2.8,2.6,,,,,0.255672059439972,0.00198131875064959
76,13113140404,Yes,Atlanta Regional Commission,1887,Tract,"Census Tract 1404.04, Fayette County",5397,376,296,167,5.5,3.1,5101,377,94.5,2.3,3450,546,63.9,9.1,1434,539,26.6,9.8,0,18,0,0.3,145,152,2.7,2.8,0,18,0,0.3,0,18,0,0.3,72,77,1.3,1.4,145,153,2.7,2.8,72,81,1.3,1.5,,,,,0.171730393437554,0.00138109681893271
77,13113140206,Yes,Atlanta Regional Commission,1878,Tract,"Census Tract 1402.06, Fayette County",4462,416,238,156,5.3,3.5,4224,432,94.7,4,3638,445,81.5,6.5,173,135,3.9,3,0,13,0,0.3,309,185,6.9,4.1,0,13,0,0.3,0,13,0,0.3,104,94,2.3,2.1,309,185,6.9,4.1,104,96,2.3,2.1,,,,,0.215271123364611,0.00139445584679841
78,13113140203,Yes,Atlanta Regional Commission,1876,Tract,"Census Tract 1402.03, Fayette County",5835,488,423,245,7.2,4.2,5412,523,92.8,4.5,3435,420,58.9,5.3,1621,254,27.8,3.7,77,98,1.3,1.7,186,159,3.2,2.7,0,18,0,0.3,25,39,0.4,0.7,68,66,1.2,1.1,186,160,3.2,2.7,170,124,2.9,2.1,,,,,0.272990854963562,0.00261406060882115
79,13113140204,Yes,Atlanta Regional Commission,1877,Tract,"Census Tract 1402.04, Fayette County",5322,509,1126,480,21.2,8.8,4196,384,78.8,10.4,2498,302,46.9,3.5,1516,381,28.5,6.6,0,18,0,0.3,53,82,1,1.5,0,18,0,0.3,56,90,1.1,1.7,73,75,1.4,1.4,53,84,1,1.6,129,119,2.4,2.2,,,,,0.335406191060568,0.00407143068875209
80,13113140305,Yes,Atlanta Regional Commission,1883,Tract,"Census Tract 1403.05, Fayette County",5442,335,607,172,11.2,3.1,4835,319,88.8,2.1,3129,439,57.5,7.2,769,146,14.1,2.5,0,18,0,0.3,796,358,14.6,6.5,0,18,0,0.3,10,17,0.2,0.3,131,85,2.4,1.6,796,358,14.6,6.5,141,89,2.6,1.6,,,,,0.225229237741308,0.00253694177383724
81,13113140403,Yes,Atlanta Regional Commission,1886,Tract,"Census Tract 1404.03, Fayette County",5426,453,259,125,4.8,2.3,5167,448,95.2,2.2,2096,284,38.6,4.1,2703,468,49.8,7.6,0,18,0,0.3,243,154,4.5,2.8,3,7,0.1,0.1,0,18,0,0.3,122,81,2.2,1.5,246,154,4.5,2.8,122,85,2.2,1.6,,,,,0.185816254359532,0.00154614091205644
82,13113140406,Yes,Atlanta Regional Commission,1889,Tract,"Census Tract 1404.06, Fayette County",3785,485,312,288,8.2,7.5,3473,401,91.8,15.8,1856,262,49,2.9,1271,425,33.6,10.4,12,25,0.3,0.7,0,13,0,0.3,51,54,1.3,1.4,11,16,0.3,0.4,272,161,7.2,4.2,51,56,1.3,1.5,295,164,7.8,4.2,,,,,0.199219041236602,0.00131470672347524
83,13113140306,Yes,Atlanta Regional Commission,1884,Tract,"Census Tract 1403.06, Fayette County",7676,563,755,445,9.8,5.8,6921,554,90.2,2.9,5998,526,78.1,3.8,328,340,4.3,4.4,0,18,0,0.2,511,269,6.7,3.5,0,18,0,0.2,0,18,0,0.2,84,116,1.1,1.5,511,270,6.7,3.5,84,119,1.1,1.5,,,,,0.158752118416605,0.00129157014322043
84,13113140102,Yes,Atlanta Regional Commission,1875,Tract,"Census Tract 1401.02, Fayette County",5492,471,341,215,6.2,3.9,5151,420,93.8,11.1,2329,374,42.4,5.8,2358,416,42.9,6.6,0,18,0,0.3,370,261,6.7,4.7,8,16,0.1,0.3,0,18,0,0.3,86,96,1.6,1.7,378,261,6.9,4.7,86,99,1.6,1.8,,,,,0.340576591132557,0.00303503844330812
85,13113140101,Yes,Atlanta Regional Commission,1874,Tract,"Census Tract 1401.01, Fayette County",7395,796,633,333,8.6,4.4,6762,730,91.4,0.8,1576,282,21.3,3,4485,600,60.6,4.8,0,18,0,0.2,323,214,4.4,2.9,0,18,0,0.2,286,456,3.9,6.2,92,81,1.2,1.1,323,215,4.4,2.9,378,463,5.1,6.2,,,,,0.322357272929957,0.00413537304722684
86,13113140502,Yes,Atlanta Regional Commission,1893,Tract,"Census Tract 1405.02, Fayette County",3601,400,72,68,2,1.9,3529,395,98,1.3,3306,380,91.8,2.7,133,104,3.7,2.9,52,46,1.4,1.3,9,13,0.2,0.4,0,13,0,0.4,0,13,0,0.4,29,25,0.8,0.7,9,18,0.2,0.5,81,54,2.2,1.5,,,,,0.428532706997411,0.00699805454140742
87,13113140501,Yes,Atlanta Regional Commission,1892,Tract,"Census Tract 1405.01, Fayette County",6357,358,148,105,2.3,1.6,6209,367,97.7,1.8,5590,404,87.9,4,427,197,6.7,3.1,55,67,0.9,1.1,134,108,2.1,1.7,1,2,0,0,0,18,0,0.3,2,4,0,0.1,135,108,2.1,1.7,57,69,0.9,1.1,,,,,0.487445321006229,0.00710007630060129
88,13163960100,No,Central Savannah River Area,2456,Tract,"Census Tract 9601, Jefferson County",4497,431,146,111,3.2,2.4,4351,435,96.8,2.8,2147,236,47.7,2.6,2164,390,48.1,7.3,0,13,0,0.3,9,13,0.2,0.3,0,13,0,0.3,0,13,0,0.3,31,38,0.7,0.8,9,18,0.2,0.4,31,42,0.7,0.9,,,,,0.80151737588786,0.0314349647629567
89,13163960400,No,Central Savannah River Area,2459,Tract,"Census Tract 9604, Jefferson County",3367,424,260,157,7.7,4.6,3107,411,92.3,3.7,937,198,27.8,4.7,2152,380,63.9,7.9,0,13,0,0.4,2,4,0.1,0.1,0,13,0,0.4,0,13,0,0.4,16,19,0.5,0.6,2,14,0.1,0.4,16,26,0.5,0.8,,,,,0.86148441803542,0.0257974715764974
90,13163960200,No,Central Savannah River Area,2457,Tract,"Census Tract 9602, Jefferson County",2460,324,141,126,5.7,5.1,2319,295,94.3,17.3,1505,162,61.2,10.4,780,270,31.7,10.2,14,21,0.6,0.9,1,2,0,0.1,0,13,0,0.5,0,13,0,0.5,19,18,0.8,0.7,1,13,0,0.5,33,31,1.3,1.2,,,,,0.768118916558852,0.0202343928301815
91,13163960300,No,Central Savannah River Area,2458,Tract,"Census Tract 9603, Jefferson County",5630,449,36,46,0.6,0.8,5594,437,99.4,11.1,2066,226,36.7,2.7,3519,401,62.5,5.1,0,18,0,0.3,4,7,0.1,0.1,0,18,0,0.3,0,18,0,0.3,5,8,0.1,0.1,4,19,0.1,0.3,5,27,0.1,0.5,,,,,1.75473473986222,0.0549746384157521
92,13241970302,No,Georgia Mountains,2733,Tract,"Census Tract 9703.02, Rabun County",1847,246,91,78,4.9,4.2,1756,245,95.1,4,1617,200,87.5,15.9,30,24,1.6,1.3,0,13,0,0.7,0,13,0,0.7,0,13,0,0.7,104,162,5.6,8.7,5,8,0.3,0.4,0,18,0,1,109,163,5.9,8.8,,,,,0.517024462925179,0.00930461488343189
93,13241970201,No,Georgia Mountains,2730,Tract,"Census Tract 9702.01, Rabun County",3224,378,286,133,8.9,4,2938,374,91.1,4.5,2843,365,88.2,4.6,6,10,0.2,0.3,6,10,0.2,0.3,0,13,0,0.4,0,13,0,0.4,34,52,1.1,1.6,49,65,1.5,2,0,18,0,0.6,89,84,2.8,2.6,,,,,0.758044792195974,0.0177050299401944
94,13241970202,No,Georgia Mountains,2731,Tract,"Census Tract 9702.02, Rabun County",2558,357,358,219,14,8.3,2200,273,86,16.1,2129,253,83.2,15.3,71,87,2.8,3.4,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,18,0,0.7,0,23,0,0.9,,,,,1.32721789865071,0.0228850801601529
95,13241970100,No,Georgia Mountains,2729,Tract,"Census Tract 9701, Rabun County",5504,518,469,227,8.5,4,5035,527,91.5,4.2,4633,505,84.2,4.6,164,45,3,0.8,71,99,1.3,1.8,130,131,2.4,2.4,0,18,0,0.3,0,18,0,0.3,37,48,0.7,0.9,130,132,2.4,2.4,108,111,2,2,,,,,0.754049045506472,0.0206952750413302
96,13241970301,No,Georgia Mountains,2732,Tract,"Census Tract 9703.01, Rabun County",3221,387,116,88,3.6,2.7,3105,395,96.4,4,3015,384,93.6,4,32,21,1,0.6,2,4,0.1,0.1,3,5,0.1,0.2,0,13,0,0.4,22,35,0.7,1.1,31,37,1,1.1,3,14,0.1,0.4,55,51,1.7,1.6,,,,,0.990703714960014,0.0256566100707048
97,13253200300,No,Southwest Georgia,2807,Tract,"Census Tract 2003, Seminole County",2160,261,8,15,0.4,0.7,2152,263,99.6,1.8,1335,193,61.8,4.9,798,177,36.9,6.9,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,0,13,0,0.6,19,39,0.9,1.8,0,18,0,0.9,19,43,0.9,2,,,,,1.08357247516279,0.0318097919994865
98,13253200200,No,Southwest Georgia,2806,Tract,"Census Tract 2002, Seminole County",3657,275,191,51,5.2,1.3,3466,282,94.8,2.9,1420,252,38.8,6.2,1937,150,53,1,0,13,0,0.4,82,77,2.2,2.1,0,13,0,0.4,4,8,0.1,0.2,23,32,0.6,0.9,82,78,2.2,2.1,27,35,0.7,1,,,,,0.337204225031545,0.00553724730727934
99,13253200100,No,Southwest Georgia,2805,Tract,"Census Tract 2001, Seminole County",2732,283,54,46,2,1.7,2678,286,98,2.5,2512,264,91.9,1.6,143,99,5.2,3.6,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,0,13,0,0.5,23,28,0.8,1,0,18,0,0.7,23,33,0.8,1.2,,,,,1.00888402285733,0.0253681652306719
